sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,xcs_pro,fact_no,product_left,aging
3287588,0.538772,8,0,0,0,0,0.053877,0.134693,0.484895,0.673466,0,0,0,0.79,0.87,0,0,0,0,1,0,0,21772,0,0
3287589,0.998618,4,0,0,0,0,0,0,0,0,0.052559,0,0,0.73,0.78,0,0,0,0,1,0,0,21773,0,0
3287590,0.994379,12,0,0,0,0,0,0,0.047351,0.094703,0,0,0,1,1,0,0,0,0,1,0,0,21774,0,0
3287591,0.168328,8,0,0.315615,0.315615,0.631229,0.031561,0.157807,0.305094,0.504983,0,0,0,0.9,0.9,0,0,0,0,1,0,0,21775,0,0
3287592,0.944911,4,0,0,0,0,0,0.188982,0.188982,0.188982,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21776,0,0
3287593,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0.92,0,0,0,0,1,0,0,21777,0,0
3287594,0.993859,2,0,0,0,0,0,0.045175,0.045175,0.090351,0,0,0,0.97,0.95,0,0,0,0,1,0,0,21778,0,0
3287595,0.996241,8,0,0,0,0,0.012772,0.025545,0.051089,0.063862,0,0,0,0.96,0.93,0,0,0,0,1,0,0,21779,0,0
3287596,0.40452,8,0.20226,0.20226,0.60678,0.60678,0,0,0,0.13484,0,0,0,0.86,0.67,0,0,0,1,1,0,0,21780,0,0
3287597,0.933329,2,0,0,0,0,0.011667,0.105,0.198333,0.279999,0,0,0,0.7,0.76,0,0,0,0,1,0,0,21781,0,0
3287598,0.96225,4,0,0,0,0,0,0,0.19245,0.19245,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21782,0,0
3287599,0.015774,9,0.085878,0.085878,0.259387,0.399596,0.068352,0.269903,0.481969,0.669499,0,0,0,0.93,0.78,0,0,0,0,1,0,0,21783,0,0
3287600,0.997241,2,0,0,0,0,0,0,0.052486,0.052486,0,0,0,0.95,0.94,0,0,0,0,1,0,0,21784,0,0
3287601,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0.92,0,0,0,0,1,0,0,21785,0,0
3287602,0,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21786,0,0
3287603,0.991837,4,0,0,0,0,0,0,0.090167,0.090167,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21787,0,0
3287604,0.133328,2,0.180982,0.197282,0.398418,0.547283,0.058615,0.19403,0.362085,0.52456,0.070297,0,0,0.94,0.81,0,0,0,1,1,0,0,21788,0,0
3287605,0.114927,2,0.076618,0.076618,0.306473,0.45971,0.025539,0.191546,0.427785,0.67041,0,0,0,0.9,0.95,0,0,0,0,1,0,0,21789,0,0
3287606,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,1,1,0,0,21790,0,0
3287607,0.78978,4,0,0,0,0,0.063182,0.189547,0.284321,0.505459,0,0,0,0.98,0.87,0,0,0,0,1,0,0,21791,0,0
3287608,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21792,0,0
3287609,0.986394,8,0,0,0,0,0,0,0,0,0.164399,0,0,0.35,0.36,0,0,0,0,1,0,0,21793,0,0
3287612,0.406867,12,0,0,0,0.116248,0.058124,0.174371,0.464991,0.75561,0,0,0,0.57,0.68,0,0,0,0,1,0,0,21794,0,0
3287613,0.10001,8,0.032731,0.160016,0.327305,0.516415,0.056369,0.275664,0.452772,0.549145,0.061461,0,0,0.36,0.44,0,1,0,0,1,0,0,21795,0,0
3287614,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21796,0,0
3287616,0.736788,2,0,0.387783,0.387783,0.387783,0,0.038778,0.038778,0.038778,0.038778,0,0,1,0.95,0,0,0,0,0,0,0,21797,0,0
3287617,0.944911,9,0,0,0,0,0,0.188982,0.188982,0.188982,0,0,0,0.93,0.78,0,0,0,0,1,0,0,21798,0,0
3287618,0.485363,4,0,0,0.069338,0.069338,0.138675,0.138675,0.485363,0.693375,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21799,0,0
3287619,0.422042,4,0.07034,0.046894,0.234468,0.375149,0.023447,0.164128,0.468936,0.609617,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21800,0,0
3287620,0.757271,4,0,0,0,0,0.068843,0.206529,0.275371,0.550743,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21801,0,0
3287621,0.948683,8,0,0,0,0,0,0,0,0,0.316228,0,0,0.35,0.36,0,0,0,0,1,0,0,21802,0,0
3287622,0.995871,8,0,0,0,0,0,0,0.052414,0.052414,0.052414,0,0,0.35,0.36,0,0,0,1,1,0,0,21803,0,0
3287623,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21804,0,0
3287624,0.180993,13,0.201435,0.12403,0.296984,0.48303,0.050531,0.194085,0.39506,0.622449,0.077634,0,0,0.42,0.64,0,0,0,0,1,0,0,21805,0,0
3287625,0.248495,4,0.124247,0.124247,0.331326,0.455573,0.041416,0.207079,0.455573,0.579821,0.041416,0,0,0.73,0.78,0,0,0,1,1,0,0,21806,0,0
3287626,0.615716,4,0,0,0.230893,0.230893,0.090958,0.167923,0.251884,0.643703,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21807,0,0
3287627,0.583783,4,0,0.140724,0.140724,0.281447,0.041228,0.151718,0.340815,0.620064,0.122583,0,0,0.73,0.78,0,0,0,1,1,0,0,21808,0,0
3287628,0.380608,4,0.035342,0.036701,0.187585,0.273222,0.063888,0.169914,0.464885,0.701406,0.040779,0,0,0.73,0.78,0,0,0,0,1,0,0,21809,0,0
3287629,0.144641,4,0.005864,0.046911,0.193507,0.242372,0.044956,0.173961,0.400696,0.828756,0.031274,0,0,0.73,0.78,0,0,0,0,1,0,0,21810,0,0
3287630,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21811,0,0
3287631,0.970143,4,0,0,0,0,0,0,0,0.242536,0,0,0,0.73,0.78,0,1,0,0,1,0,0,21812,0,0
3287632,0.948683,8,0,0,0,0,0,0,0,0,0.316228,0,0,1,1,0,0,0,0,1,0,0,21813,0,0
3287633,0.40915,4,0.001779,0.128082,0.281068,0.323762,0.01601,0.069378,0.419823,0.668871,0.060483,0,0,0.73,0.78,0,0,0,0,1,0,0,21814,0,0
3287634,0.642267,8,0.189761,0,0,0,0.043791,0.175164,0.364925,0.620372,0.029194,0,0,0.87,0.92,0,0,0,0,1,0,0,21815,0,0
3287635,0.816497,4,0,0,0,0,0,0,0.408248,0.408248,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21816,0,0
3287636,0.98387,8,0,0,0,0,0,0,0,0,0.178885,0,0,0.99,0.98,0,0,0,0,1,0,0,21817,0,0
3287637,0.390449,2,0,0,0.289222,0.578443,0.057844,0.169918,0.32899,0.52783,0.101228,0,0,0.83,0.91,0,0,0,1,0,0,0,21818,0,0
3287638,1,4,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21819,0,0
3287639,0.993383,4,0,0,0,0,0.014827,0.04448,0.074133,0.074133,0,0,0,0.73,0.78,0,0,0,0,1,0,0,21820,0,0
3287640,0.194257,8,0,0.194257,0.388514,0.582772,0.032376,0.161881,0.25901,0.582772,0,0,0,1,0.92,0,0,0,0,1,0,0,21821,0,0
3287641,0.995037,12,0,0,0,0,0,0,0,0,0.099504,0,0,0.48,0.48,0,1,0,0,1,0,0,21822,0,0
3287642,0.997054,12,0,0,0,0,0,0,0,0,0.076696,0,0,0.48,0.48,0,1,0,0,1,0,0,21823,0,0
3287643,0.436852,12,0,0,0,0.174741,0.08737,0.08737,0.524222,0.698963,0,0,0,0.7,0.76,0,0,0,0,1,0,0,21824,0,0
3287644,0,12,0,0.366206,0.624704,0.689329,0,0,0,0,0.021542,0,0,0.48,0.48,0,1,0,1,1,0,0,21825,0,0
3287645,0.995037,12,0,0,0,0,0,0,0,0,0.099504,0,0,0.48,0.48,0,1,0,0,1,0,0,21826,0,0
3287646,0.997054,12,0,0,0,0,0,0,0,0,0.076696,0,0,0.48,0.48,0,1,0,0,1,0,0,21827,0,0
3287647,0.997054,12,0,0,0,0,0,0,0,0,0.076696,0,0,0.48,0.48,0,1,0,0,1,0,0,21828,0,0
3287648,0.997054,12,0,0,0,0,0,0,0,0,0.076696,0,0,0.48,0.48,0,1,0,0,1,0,0,21829,0,0
3287649,0.998752,12,0,0,0,0,0,0,0,0,0.049938,0,0,0.48,0.48,0,1,0,0,1,0,0,21830,0,0
3287650,0.997054,12,0,0,0,0,0,0,0,0,0.076696,0,0,0.48,0.48,0,1,0,0,1,0,0,21831,0,0
3287651,0.994392,12,0,0.061049,0.061049,0.061049,0,0,0.001174,0.001174,0.000235,0,0,0.48,0.48,0,1,0,0,1,0,0,21832,0,0
3287652,0.998752,12,0,0,0,0,0,0,0,0,0.049938,0,0,0.48,0.48,0,1,0,0,1,0,0,21833,0,0
3287653,0.997785,12,0,0,0,0,0,0,0,0,0.066519,0,0,0.48,0.48,0,1,0,0,1,0,0,21834,0,0
3287654,0.473395,2,0.005704,0,0.171107,0.171107,0.046199,0.165973,0.436322,0.703248,0.051902,0,0,0.82,0.83,0,0,0,0,1,0,0,21835,0,0
3287655,0.150493,2,0,0.185222,0.370444,0.555666,0.046305,0.196798,0.347291,0.578818,0.023153,0,0,0.97,0.96,0,0,0,0,1,0,0,21836,0,0
3287656,0.978583,8,0,0,0,0,0.041642,0.072873,0.114515,0.135336,0.062463,0,0,0.79,0.79,0,0,0,0,1,0,0,21837,0,0
3287658,0.798334,8,0.043153,0,0,0,0.043153,0.151036,0.345225,0.453108,0.107883,0,0,0.5,0.49,0,0,0,0,1,0,0,21838,0,0
3287659,0.978019,8,0,0,0,0,0,0.088911,0.133366,0.133366,0,0,0,0.7669,0.763186,0,1,0,0,1,0,0,21839,0,0
3287660,0.999315,8,0,0,0,0,0,0,0,0,0.037012,0,0,0.74,0.73,0,0,0,0,1,0,0,21840,0,0
3287661,0.99224,8,0,0,0,0,0.010715,0.030003,0.064292,0.100724,0.012858,0,0,0.7669,0.763186,0,1,0,0,1,0,0,21841,0,0
3287662,0.705336,8,0.582861,0,0,0,0.017707,0.112145,0.222815,0.309875,0.064926,0,0,0.78,0.63,0,0,0,0,1,0,0,21842,0,0
3287663,0.239553,8,0.04546,0.102779,0.256946,0.411114,0.053504,0.133968,0.261987,0.776057,0.056884,0,0,0.98,0.91,0,0,0,0,1,0,0,21843,0,0
3287664,0.772693,8,0,0,0,0,0.072498,0.191469,0.343901,0.492409,0.017143,0,0,0.9,0.92,0,0,0,0,1,0,0,21844,0,0
3287665,0.177002,8,0.035114,0.171986,0.318174,0.464362,0.061628,0.182019,0.395568,0.643515,0.116091,0,0,0.79,0.66,0,0,0,0,1,0,0,21845,0,0
3287666,0.989743,8,0,0,0,0,0,0,0.082479,0.082479,0.082479,0,0,0.7669,0.763186,0,1,0,0,0,0,0,21846,0,0
3287667,0.816497,8,0,0,0,0,0,0,0.408248,0.408248,0,0,0,0.98,0.99,0,0,0,0,1,0,0,21847,0,0
3287668,0.749804,8,0.005554,0.064428,0.064428,0.128855,0.05443,0.171066,0.351019,0.504313,0.055541,0,0,0.48,0.28,0,0,0,0,1,0,0,21848,0,0
3287669,0.997054,8,0,0,0,0,0,0,0,0,0.076696,0,0,0,0,0,0,0,0,1,0,0,21849,0,0
3287670,0.354441,8,0.212664,0,0,0.17722,0.035444,0.106332,0.531661,0.708881,0,0,0,0.88,0.89,0,0,0,0,1,0,0,21850,0,0
3287671,0.46529,8,0,0,0.088627,0.46529,0,0.155097,0.420977,0.59823,0,0,0,0.61,0.62,0,0,0,1,1,0,0,21851,0,0
3287672,0.460741,8,0,0.15358,0.30716,0.30716,0.047255,0.129952,0.36623,0.649762,0,0,0,0.64,0.64,0,0,0,0,1,0,0,21852,0,0
3287673,0.546506,8,0.005306,0,0.137953,0.344882,0.037141,0.175094,0.3608,0.626094,0.095506,0,0,0.69,0.67,0,0,0,0,1,0,0,21853,0,0
3287674,0.87849,8,0.004949,0,0,0,0.037119,0.108883,0.235089,0.395939,0.054442,0,0,0.69,0.67,0,0,0,0,0,0,0,21854,0,0
3287675,0.165724,8,0,0.085081,0.262643,0.440204,0.139829,0.296675,0.45722,0.619984,0.039211,0,0,0.62,0.56,0,0,0,0,1,0,0,21855,0,0
3287676,0.182006,8,0,0,0.546019,0.546019,0,0.045502,0.227508,0.546019,0.136505,0,0,1,0.91,0,0,0,1,1,0,0,21856,0,0
3287677,0.147168,8,0.03001,0.204306,0.370039,0.513901,0.068413,0.182688,0.360968,0.601473,0.06748,0,0,0.98,0.99,0,0,0,1,1,0,0,21857,0,0
3287678,0.999792,8,0,0,0,0,0.010207,0.010207,0.010207,0.010207,0,0,0,0.69,0.67,0,0,0,0,1,0,0,21858,0,0
3287679,0.25449,8,0.030735,0.132777,0.354073,0.619627,0.003688,0.136466,0.283996,0.544633,0.106959,0,0,0.92,0.91,0,0,0,0,1,0,0,21859,0,0
3287680,0.999315,9,0,0,0,0,0,0,0,0,0.037012,0,0,0.98,0.88,0,0,0,0,1,0,0,21860,0,0
3287681,0.287949,8,0.004188,0.087955,0.307844,0.483754,0.044327,0.163346,0.390913,0.628601,0.062825,0,0,0.99,0.99,0,0,0,0,1,0,0,21861,0,0
3287682,0.199082,8,0.063222,0.161418,0.376642,0.53806,0.037664,0.149312,0.361845,0.577069,0.106267,0,0,0.97,0.98,0,0,0,0,1,0,0,21862,0,0
3287683,0.252809,12,0.021067,0.15309,0.316012,0.478933,0.032303,0.205056,0.369382,0.630619,0.075843,0,0,0.96,0.96,0,0,0,0,1,0,0,21863,0,0
3287684,1,12,0,0,0,0,0,0,0,0,0,0,0,0.63,0.57,0,0,0,0,1,0,0,21864,0,0
3287685,0.777778,52,0,0,0,0,0.055556,0.055556,0.277778,0.555556,0.055556,0,0,1,1,0,1,0,0,1,0,0,21865,0,0
3287686,0.967369,52,0,0,0,0,0.018603,0.065111,0.120921,0.204636,0.05581,0,0,0.96,0.96,0,1,0,0,1,0,0,21866,0,0
3287687,0.02811,8,0.018125,0,0.027187,0.051354,0.005454,0.020223,0.048333,0.996281,0.012419,0,0,0.75,0.72,0,0,0,1,1,0,0,21867,0,0
3287688,0.094491,9,0,0.283473,0.566947,0.566947,0,0.188982,0.283473,0.377964,0.094491,0,0,0.99,0.99,0,0,0,0,1,0,0,21868,0,0
3287689,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,21869,0,0
3287690,0.238272,8,0.094684,0.156073,0.218503,0.249717,0.06399,0.183646,0.439607,0.747071,0.103008,0,0,0.82,0.81,0,0,0,0,1,0,0,21870,0,0
3287691,0.862662,10,0,0,0,0,0,0.215666,0.323498,0.323498,0,0,0,0.77,0.84,0,0,0,0,1,0,0,21871,0,0
3287692,0.326429,12,0.021997,0.131979,0.263959,0.395938,0.074788,0.199729,0.419694,0.64142,0.1267,0,0,0.87,0.94,0,0,0,1,1,0,0,21872,0,0
3287693,0.529442,15,0.13236,0,0,0,0.013236,0.06618,0.357373,0.754454,0.026472,0,0,0.99,0.99,0,0,0,0,1,0,0,21873,0,0
3287694,0.123388,8,0,0.572871,0.572871,0.572871,0,0,0.008813,0.008813,0.008813,0,0,0.16,0.1,0,1,0,1,0,0,0,21874,0,0
3287695,0.015268,52,0,0.572557,0.572557,0.572557,0.007634,0.019085,0.072524,0.10306,0,0,0,0.07,0.2,0,1,0,0,0,0,0,21875,0,0
3287696,0.162565,8,0.006438,0.206022,0.437798,0.566562,0.019315,0.083697,0.315472,0.552076,0.082087,0,0,0.98,0.97,0,0,0,0,1,0,0,21876,0,0
3287697,1,8,0,0,0,0,0,0,0,0,0,0,0,0.96,0.96,0,0,0,0,1,0,0,21877,0,0
3287698,0.966092,52,0,0,0,0,0,0.069007,0.138013,0.20702,0,0,0,0.98,0.97,0,1,0,0,1,0,0,21878,0,0
